03-06 23:20 INFO     b'HTTP/1.1 302 Found\r\nLocation: https://www.doubleclickbygoogle.com/\r\nDate: Mon, 07 Mar 2016 07:20:23 GMT\r\nContent-Type: text/html\r\nServer: Google Frontend\r\nContent-Length: 0\r\n\r\n'
03-06 23:20 INFO     b'CONNECT www.doubleclickbygoogle.com:443 HTTP/1.1\r\nUser-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.102 Safari/537.36\r\nHost: www.doubleclickbygoogle.com\r\n\r\n'
03-06 23:20 WARNING  b'NONE: CONNECT www.doubleclickbygoogle.com:443 HTTP/1.1\r\nUser-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.102 Safari/537.36\r\nHost: www.doubleclickbygoogle.com\r\n\r\n'
03-06 23:20 INFO     b'CONNECT www.google.com:443 HTTP/1.1\r\nHost: www.google.com:443\r\n\r\n'
03-06 23:20 WARNING  b'NONE: CONNECT www.google.com:443 HTTP/1.1\r\nHost: www.google.com:443\r\n\r\n'
03-06 23:20 INFO     b'GET http://www.google.com HTTP/1.1\r\nUser-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.102 Safari/537.36\r\nHost: www.google.com\r\nConnection: Keep-Alive\r\nAccept-Encoding: gzip\r\n\r\n'
03-06 23:20 INFO     b'HTTP/1.1 404 Not Found\r\nContent-Type: text/html; charset=UTF-8\r\nDate: Mon, 07 Mar 2016 07:20:26 GMT\r\nServer: gws\r\nContent-Length: 1561\r\nX-XSS-Protection: 1; mode=block\r\nX-Frame-Options: SAMEORIGIN\r\n\r\n<!DOCTYPE html>\n<html lang=en>\n  <meta charset=utf-8>\n  <meta name=viewport content="initial-scale=1, minimum-scale=1, width=device-width">\n  <title>Error 404 (Not Found)!!1</title>\n  <style>\n    *{margin:0;padding:0}html,code{font:15px/22px arial,sans-serif}html{background:#fff;color:#222;padding:15px}body{margin:7% auto 0;max-width:390px;min-height:180px;padding:30px 0 15px}* > body{background:url(//www.google.com/images/errors/robot.png) 100% 5px no-repeat;padding-right:205px}p{margin:11px 0 22px;overflow:hidden}ins{color:#777;text-decoration:none}a img{border:0}@media screen and (max-width:772px){body{background:none;margin-top:0;max-width:none;padding-right:0}}#logo{background:url(//www.google.com/images/branding/googlelogo/1x/googlelogo_color_150x54dp.png) no-repeat;margin-left:-5px}@media only screen and (min-resolution:192dpi){#logo{background:url(//www.google.com/images/branding/googlelogo/2x/googlelogo_color_150x54dp.png) no-repeat 0% 0%/100% 100%;-moz-border-image:url(//www.google.com/images/branding/googlelogo/2x/googlelogo_color_150x54dp.png) 0}}@media only screen and (-webkit-min-device-pixel-ratio:2){#logo{background:url(//www.google.com/images/branding/googlelogo/2x/googlelogo_color_150x54dp.png) no-repeat;-webkit-background-size:100% 100%}}#logo{display:inline-block;height:54px;width:150px}\n  </style>\n  <a href=//www.google.com/><span id=logo aria-label=Google></span></a>\n  <p><b>404.</b> <ins>That\xe2\x80\x99s an error.</ins>\n  <p>The requested URL <code>/</code> was not found on this server.  <ins>That\xe2\x80\x99s all we know.</ins>\n'
03-06 23:20 INFO     b'GET http://216.58.218.110/generate_204 HTTP/1.1\r\nUser-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_1 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D201 Safari/9537.53\r\nHost: 216.58.218.110\r\nConnection: Keep-Alive\r\nAccept-Encoding: gzip\r\n\r\n'
03-06 23:20 INFO     b'HTTP/1.1 204 No Content\r\nContent-Length: 0\r\nDate: Mon, 07 Mar 2016 07:20:27 GMT\r\n\r\n'
03-06 23:20 INFO     b'CONNECT ssl.google-analytics.com:443 HTTP/1.1\r\nUser-Agent: Apache-HttpClient/UNAVAILABLE (java 1.4)\r\nHost: ssl.google-analytics.com\r\n\r\n'
03-06 23:20 WARNING  b'NONE: CONNECT ssl.google-analytics.com:443 HTTP/1.1\r\nUser-Agent: Apache-HttpClient/UNAVAILABLE (java 1.4)\r\nHost: ssl.google-analytics.com\r\n\r\n'
03-06 23:20 INFO     b''
03-06 23:20 WARNING  b'NONE: '
03-06 23:20 INFO     b'CONNECT graph.instagram.com:443 HTTP/1.1\r\nHost: graph.instagram.com:443\r\nProxy-Connection: keep-alive\r\nUser-Agent: Instagram 7.17.0 Android (21/5.0.1; 480dpi; 1080x1776; HTC/htc; HTC6525LVW; htc_m8wl; qcom; en_US)\r\n\r\n'
03-06 23:20 WARNING  b'NONE: CONNECT graph.instagram.com:443 HTTP/1.1\r\nHost: graph.instagram.com:443\r\nProxy-Connection: keep-alive\r\nUser-Agent: Instagram 7.17.0 Android (21/5.0.1; 480dpi; 1080x1776; HTC/htc; HTC6525LVW; htc_m8wl; qcom; en_US)\r\n\r\n'
03-06 23:20 INFO     b'CONNECT ssl.google-analytics.com:443 HTTP/1.1\r\nUser-Agent: Apache-HttpClient/UNAVAILABLE (java 1.4)\r\nHost: ssl.google-analytics.com\r\n\r\n'
03-06 23:20 WARNING  b'NONE: CONNECT ssl.google-analytics.com:443 HTTP/1.1\r\nUser-Agent: Apache-HttpClient/UNAVAILABLE (java 1.4)\r\nHost: ssl.google-analytics.com\r\n\r\n'
